class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	happy	triumphant	happy - sad	(\bhappy) and (?!sad)(\b\w+)	'They catch us in our knees; odd bolts and butts and barrels transfix us from time to time but we are all so 	happy and triumphant	, so proud of ourselves that we swear we are comfortable.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 Or are its relatives 	alive and well	 and living in Brazil?
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 " Since 1937, when the kouprey came @ @ @ @ @ @ @ @ @ @ seen before have been discovered 	alive and well	 in remote terrain.
no	X and Y	large	intricate	large - small	(\blarge) and (?!small)(\b\w+)	 Over the course of several years, they met at four different locations -- symbolizing the cardinal directions -- to plan a 	large and intricate	 installation.
yes	X and Y	major	minor	major - minor	(major) and (minor)	 " Simply casting more Black actors and actresses in the countless 	major and minor	 character roles that routinely go to Whites would go far in getting beyond the same old tired clichs.
no	X and Y	active	thriving	active - passive	(\bactive) and (?!passive)(\b\w+)	 But I did n't feel alone, because there is an 	active and thriving	 African-American community in Hawaii.
no	X and Y	goods	large	large - small	(?!small)(\b\w+) and (\blarge)	 You can find them at sporting-	goods and large	 department stores.
no	X and Y	soft	warm	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 Wrap tortilla in aluminum foil; heat until 	soft and warm	, about 5 minutes.
no	X and Y	sporadic	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Telephone calls are 	sporadic and difficult	.
no	X or Y	difficult	expensive	difficult - easy	(\bdifficult) or (?!easy)(\b\w+)	 All would retain local ownership and governance but would ally to accomplish 	difficult or expensive	 missions -- say, building a global interactive video broadcasting system.
yes	X and Y	large	small	large - small	(large) and (small)	 Typical of the new breed, Thomas Nelson Community College has tied itself to 33 middle and high schools and to businesses 	large and small	 around its home base of Hampton, Virginia.
no	X and Y	middle	high	high - low	(?!low)(\b\w+) and (\bhigh)	 Typical of the new breed, Thomas Nelson Community College has tied itself to 33 	middle and high	 schools and to businesses large and small around its home base of Hampton, Virginia.
no	X and Y	steep	permanent	permanent - temporary	(?!temporary)(\b\w+) and (\bpermanent)	 For many, the result is a 	steep and permanent	 drop in earnings.
no	X and Y	large	strategic	large - small	(\blarge) and (?!small)(\b\w+)	 But that is not the sort of HI 	large and strategic	 interest that compelled us to join NATO and threaten thermonuclear war to protect Europe from the Soviet Union.
no	X or Y	local	hard	hard - soft	(?!soft)(\b\w+) or (\bhard)	 (Soviet champagne, for instance, might cost the equivalent of $2 or $20, depending on whether the price was cited in 	local or hard	 currency.
yes	X and Y	urban	rural	rural - urban	(urban) and (rural)	 Heating water and cooking still are the primary energy uses in 	urban and rural	 households, but most of the growth is in electricity-consuming products such as lights, televisions, refrigerators, and air conditioners.
no	X and Y	fast	convenient	fast - slow	(\bfast) and (?!slow)(\b\w+)	 Curitiba, Brazil, relies on a network of feeder and express buses that utilize dedicated traffic lanes, providing riders with 	fast and convenient	 trips, with minimal petroleum use.
no	X or Y	old	obsolete	new - old	(\bold) or (?!new)(\b\w+)	 Efficiency also is impaired by reliance on 	old or obsolete	 industrial processes -- often purchased at bargain prices from northern countries.
yes	both X and Y	urban	rural	rural - urban	both (urban) and (rural)	 Alternate modes of financing and providing health care delivery for indigent populations -- 	both urban and rural	 -- should be developed.
no	X and Y	personal	public	private - public	(?!private)(\b\w+) and (\bpublic)	 corporations, the senior environmental official reports directly to the chief executive officer and, in many cases, the CEO has taken a 	personal and public	 interest in environmental matters.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	 Thanks to Mary Ainsworth, a 	large and growing	 body of research supports attachment theory.
yes	X or Y	minor	major	major - minor	(minor) or (major)	 Every day we feel the soul's 	minor or major	 discomforts, but because we habitually overlook these signals of soul pain, we may fail to respond.
no	X and Y	new	improved	new - old	(\bnew) and (?!old)(\b\w+)	 Rather than come up with new understandings and 	new and improved	 ways of doing things, the soul prefers to get what it can gradually, taking its nourishment from what is already present.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 The issue is not whether Mack is 	right or wrong	, but that he has abdicated scientific objectivity; his methods preclude us from ever getting an answer.
no	X and Y	False	true	false - true	(?!false)(\b\w+) and (\btrue)	 	False and true	 memory do n't apply.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 Talk about your own marriage in relation to these 	good and bad	 marriages.
no	from X to Y	bad	worse	bad - good	from (\bbad) to (?!good)(\b\w+)	 THE THIRD HORSEMAN: DEFENSIVENESS Once contempt entered their home, Eric and Pamela's marriage went 	from bad to worse	.
no	X and Y	new	different	new - old	(\bnew) and (?!old)(\b\w+)	 Each time you rehearse being nondefensive or validating is a 	new and different	 experience and it's important to keep trying even when you're tired and do n't feel like it.
yes	between X and Y	rich	poor	poor - rich	between (rich) and (poor)	 In it the writer, @ @ @ @ @ @ @ @ @ @ that of course he fosters hatred 	between rich and poor	, mestizos and Indians.
no	X and Y	slow	careful	fast - slow	(\bslow) and (?!fast)(\b\w+)	 The answer to the Zapatista success, however, was 	slow and careful	 planning, the long patience of the Indian; they have been working at this for 10 years.
no	X and Y	good	competent	bad - good	(\bgood) and (?!bad)(\b\w+)	 Second, they think of themselves as 	good and competent	 priests.
no	X and Y	permanent	irrevocable	permanent - temporary	(\bpermanent) and (?!temporary)(\b\w+)	 They are convinced that holy orders are 	permanent and irrevocable	 -- semel sacerdos, semper sacerdos (" once a priest, always a priest ").
no	X and Y	poor	helpless	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 But why, one might ask, do the Jesuits continue to edit AMERICA, with so many other pressing Jesuit needs -- in education, in parishes, among the 	poor and helpless	 throughout our world?
yes	X and Y	new	old	new - old	(new) and (old)	 How to assimilate the best and resist the worst will depend largely on how effectively the church uses 	new and old	 communication opportunities.
no	X and Y	happy	proud	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 I am 	happy and proud	 to say that my fellow Catholics do not carry any hatred in their hearts for others who are different.
no	X and Y	passing	temporary	permanent - temporary	(?!permanent)(\b\w+) and (\btemporary)	 Now they see that it was all 	passing and temporary	 and that God is our only refuge.
no	X and Y	bad	disastrous	bad - good	(\bbad) and (?!good)(\b\w+)	 one that is neither wholly good and holy, nor 	bad and disastrous	.
no	X and Y	good	holy	bad - good	(\bgood) and (?!bad)(\b\w+)	 one that is neither wholly 	good and holy	, nor bad and disastrous.
no	X and Y	rich	diverse	poor - rich	(\brich) and (?!poor)(\b\w+)	 On the other hand, there is the effort to categorize 	rich and diverse	 spiritual experience far too neatly by reliance on tools like the Myers-Briggs personality type indicator or the enneagram.
no	X and Y	new	ominous	new - old	(\bnew) and (?!old)(\b\w+)	 " Lately, this easy slip from national hostility to racial animosity, based on coincidence of color, has taken on a 	new and ominous	 significance.
no	X and Y	old	deep	new - old	(\bold) and (?!new)(\b\w+)	 Anti-Haitian feelings in the Dominican Republic, whether in the form of hostility or condescension, have 	old and deep	 roots, both factual and fictional.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 He lived in a highly colored Christian world where 	right and wrong	 were very clearly identifiable.
no	X and Y	good	ready	bad - good	(\bgood) and (?!bad)(\b\w+)	 Excommunication was a 	good and ready	 option.
no	X and Y	high	fine	high - low	(\bhigh) and (?!low)(\b\w+)	 They had the same fantasy of a Europe that never existed, but which they thought existed, where everything was 	high and fine	 and profound.
yes	whether X or Y	rich	poor	poor - rich	whether (rich) or (poor)	 Christianity held all persons to one ethic, 	whether rich or poor	, male or female, free or servile.
no	X and Y	private	parochial	private - public	(\bprivate) and (?!public)(\b\w+)	 " Its centerpiece, a school voucher plan, would have allowed parents to take Federal funds to 	private and parochial	 schools.
no	X and Y	new	wise	new - old	(\bnew) and (?!old)(\b\w+)	 Good offensive weapons, young coaching staff, 	new and wise	 receivers @ @ @ @ @ @ @ @ @ @.
no	how X or Y	big	small	large - small	how (?!large)(\b\w+) or (\bsmall)	 The Thomases, who will celebrate their seventh anniversary in July, say they talk about everything that comes up in their relationship, no matter 	how big or small	.
no	X and Y	small	livable	large - small	(\bsmall) and (?!large)(\b\w+)	 Just something 	small and livable	.
no	X and Y	rich	famous	poor - rich	(\brich) and (?!poor)(\b\w+)	 Yoko's struggle for survival continued long after she became 	rich and famous	.
no	X and Y	serious	sad	happy - sad	(?!happy)(\b\w+) and (\bsad)	 " If we talk about things that are very 	serious and sad	, it puts him in a funk, " she says.
no	X and Y	good	decent	bad - good	(\bgood) and (?!bad)(\b\w+)	 Christy is a 	good and decent	 TV show.
yes	X and Y	small	large	large - small	(small) and (large)	 " The quivertip's limber tip and strong butt can handle 	small and large	 fish.
no	X and Y	heavy	alive	alive - dead	(?!dead)(\b\w+) and (\balive)	 Something 	heavy and alive	 pulled my rod tip toward the water.
no	X and Y	clear	cold	cold - hot	(?!hot)(\b\w+) and (\bcold)	 But late February and March waters usually run 	clear and cold	 -- simply the wrong stream conditions for worm fishing.
no	X and Y	permanent	profound	permanent - temporary	(\bpermanent) and (?!temporary)(\b\w+)	 I did n't know it then, but it was to be a day that would have a 	permanent and profound	 impact on my life, one that I never dreamed possible.
no	X and Y	soft	pliable	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 " Fish tend to mouth the 	soft and pliable	 foam flies a touch longer than harder-bodied flies.
no	X and Y	strong	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Evazote foam, in particular, is amazingly 	strong and easy	 to work with and comes in a nice range of workable thicknesses, from one-eight to one-half inch.
no	X and Y	small	attractive	large - small	(\bsmall) and (?!large)(\b\w+)	 Patterns can be big and ugly or 	small and attractive	 -- it's up to you.
no	X or Y	ugly	small	large - small	(?!large)(\b\w+) or (\bsmall)	 Patterns can be big and 	ugly or small	 and attractive -- it's up to you.
no	X and Y	quick	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Adjustable buttplates, though as ugly as sin, can be fitted that make it 	quick and easy	 to change pull length, drop at heel and pitch.
no	X and Y	high	dingy	high - low	(\bhigh) and (?!low)(\b\w+)	 For fishermen, this simply means that it can be a big mistake to @ @ @ @ @ @ @ @ @ @ arrive at your favorite stream and find it running 	high and dingy	.
no	X and Y	buoyant	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Various Wulff-type patterns are 	buoyant and easy	 to see.
no	X and Y	cold	empty	cold - hot	(\bcold) and (?!hot)(\b\w+)	 Even to this day I can still hear his long, shrill, warbling scream as it diminished into the dark silences of 	cold and empty	 space.
no	X and Y	quiet	cold	cold - hot	(?!hot)(\b\w+) and (\bcold)	 " His voice was 	quiet and cold	.
no	X and Y	white	short	long - short	(?!long)(\b\w+) and (\bshort)	 Ben has some Irish blood in him and his hair is 	white and short	, sort of a human version of the lovable Snowflake, the famous albino gorilla in the Barcelona Zoo.
no	X and Y	soft	supple	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 He says that Berkley Select monofilament (six to eight-pound test) has revolutionized his style of river fishing because the line is 	soft and supple	 yet does n't stretch much.
no	X and Y	high	muddy	high - low	(\bhigh) and (?!low)(\b\w+)	) " Maury strikes the fear of God in my heart when the water's 	high and muddy	, " admits Gray.
yes	either X or Y	public	private	private - public	either (public) or (private)	 Strict environmentalists say that any land-use practice -- farming, mining, even hunting or camping -- that harasses an endangered species on 	either public or private	 land is a violation of the ESA.
no	X and Y	low	relaxed	high - low	(\blow) and (?!high)(\b\w+)	 Coombs and Zell prefer keeping their hands 	low and relaxed	; exaggerated pole action, says Zell, " makes you too bouncy.
no	X and Y	cold	blustery	cold - hot	(\bcold) and (?!hot)(\b\w+)	 The weather turned 	cold and blustery	 on our last day at Portillo, a storm pushing in from the Pacific.
no	X and Y	slow	exploratory	fast - slow	(\bslow) and (?!fast)(\b\w+)	 It looked marvelous, but my first turns were 	slow and exploratory	: Would the skis ride high on the loose crystals or break through the crust and send me head over heels?
no	from X to Y	good	lousy	bad - good	from (\bgood) to (?!bad)(\b\w+)	 The vast majority of the coatings are polyurethane, and range anywhere 	from good to lousy	.
no	X and Y	soft	supple	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 But, as he said of this plush number, " I loved it anyway -- it just felt so 	soft and supple	.
no	X and Y	new	delicious	new - old	(\bnew) and (?!old)(\b\w+)	 This is a 	new and delicious	 sensation.
no	X and Y	steep	cold	cold - hot	(?!hot)(\b\w+) and (\bcold)	 It must be, I thought in a pubescent fever, that the rest of the mountain is just too 	steep and cold	 to support human life!
no	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 Outdoor base stations will blanket 	urban and suburban	 areas, one every block or so, serving slow-moving vehicles or pedestrians.
no	X and Y	fast	steep	fast - slow	(\bfast) and (?!slow)(\b\w+)	 A great run that was 	fast and steep	, but not cruel, not overpowering enough to force me to make the 22 kick turns that gave the peak its name.
no	X and Y	hard	risky	hard - soft	(\bhard) and (?!soft)(\b\w+)	 " The basic lesson, " he said, " is that deep space exploration is 	hard and risky	.
no	X and Y	new	simpler	new - old	(\bnew) and (?!old)(\b\w+)	 " JPL's answer is to prepare a 	new and simpler	 spacecraft for launch in 1996, carrying many spare scientific instruments.
no	X and Y	big	bad	bad - good	(?!good)(\b\w+) and (\bbad)	 At times, however, wolves can be 	big and bad	 around livestock.
no	X and Y	sick	poor	poor - rich	(?!rich)(\b\w+) and (\bpoor)	 Winner of the 1979 Nobel Peace Prize, the 84-year-old nun continues to work with the 	sick and poor	 in Calcutta.
no	X and Y	Left	right	right - wrong	(?!wrong)(\b\w+) and (\bright)	 	Left and right	 buttons at the bottom edge work like the buttons on a mouse.
no	X and Y	free	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Plugging it into a Macintosh, most of which come @ @ @ @ @ @ @ @ @ @ once the changer is installed, it is trouble 	free and easy	 to use.
no	X and Y	large	indigestible	large - small	(\blarge) and (?!small)(\b\w+)	 The White House already has indicated that instead of offering another 	large and indigestible	 health care plan, it will seek incremental reforms.
no	X or Y	new	expanded	new - old	(\bnew) or (?!old)(\b\w+)	 Muslim nations such as Malaysia, Bangladesh and Indonesia are also exploring the possibility of 	new or expanded	 military ties with Israel.
no	X and Y	cheap	low	high - low	(?!high)(\b\w+) and (\blow)	 A Hamas leaflet called Arafat " a 	cheap and low	 tool in the hands of the Zionists.
no	X and Y	new	innovative	new - old	(\bnew) and (?!old)(\b\w+)	 Yes, but to make up for the loss, we have a 	new and innovative	 technique virtually unheard of in government: It's called firing.
no	X and Y	new	different	new - old	(\bnew) and (?!old)(\b\w+)	 Reporters, from the day they walk into journalism school, news is defined to them as @ @ @ @ @ @ @ @ @ @ up, they're looking for something 	new and different	 to report.
yes	X or Y	dead	alive	alive - dead	(dead) or (alive)	 Traditional health reform coverage dominated, with stories about what the five congressional committees would do and whether " universal coverage " was 	dead or alive	.
yes	X and Y	private	public	private - public	(private) and (public)	 And for the real-life counterparts of students like these, government-guaranteed student loan programs are essential to paying for 	private and public	 universities alike.
no	X and Y	dead	dying	alive - dead	(\bdead) and (?!alive)(\b\w+)	 In one mighty pass, the operation would steamroll the nation, closing or taking control of 189 	dead and dying	 thrifts across the land.
yes	X and Y	large	small	large - small	(large) and (small)	 Although teen violence is often associated with inner cities, it now pervades almost every community, 	large and small	, in the United States.
yes	X and Y	private	public	private - public	(private) and (public)	 Other 	private and public	 organizations offer on-site services or accept referral for medical care, employment, vocational training, and substance abuse treatment.
no	X and Y	superb	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Like all of INN's games, these are graphically 	superb and easy	 to play.
no	X and Y	dry	staid	dry - wet	(\bdry) and (?!wet)(\b\w+)	 The programs mentioned in this article illustrate the fact that a program does n't have to be 	dry and staid	 to be educational.
no	X or Y	young	old	new - old	(?!new)(\b\w+) or (\bold)	 " Everyone can compete, " he says, " because the computer does n't care if you're male or female, black or white, 	young or old	, physically challenged or whatever.
no	X and Y	powerful	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The noninteractive Parse Expert evaluates and converts imported text strings to spreadsheet data, Quattro Pro's Experts are the most 	powerful and easy	 to understand of the help features found in this group of spreadsheets.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 They wax philosophically on the video effects industry, Commodore computers, and attitudes 	good and bad	.
no	X or Y	left	right	right - wrong	(?!wrong)(\b\w+) or (\bright)	 You can use a switch to select whether to use the throttle control on the 	left or right	 side of the stick, a feature that makes this the premier multifunction stick for lefties.
no	X and Y	powerful	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 It's very 	powerful and easy	 to use.
no	X and Y	floppy	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 Some are good with 	floppy and hard	 drive problems.
no	X and Y	high	thin	high - low	(\bhigh) and (?!low)(\b\w+)	 It keened 	high and thin	, much like, I imagined, a scurrying mammal caught under an allosaur's claw.
no	X and Y	cold	thin	cold - hot	(\bcold) and (?!hot)(\b\w+)	 Her lips were 	cold and thin	 like the rest of her, though not entirely unpleasant.
no	X and Y	slow	deliberate	fast - slow	(\bslow) and (?!fast)(\b\w+)	 He spoke English well but in a 	slow and deliberate	 way that suggested he was n't comfortable with the language.
no	X and Y	hot	muggy	cold - hot	(\bhot) and (?!cold)(\b\w+)	 Wind blowing off any water can be cold, and only in Paris can you get weather that is 	hot and muggy	 with cold breezes.
no	X and Y	public	congressional	private - public	(\bpublic) and (?!private)(\b\w+)	 With 	public and congressional	 enthusiasm for the space program waning while interest in the Mars face mounts, will NASA make special provisions for the new spacecraft to examine Cydonia?
no	X or Y	warm	cold	cold - hot	(?!hot)(\b\w+) or (\bcold)	 The difference between implementing CPR with or without the BRD is the difference between Tontlewicz falling into a 	warm or cold	 Lake Michigan.
no	X and Y	wet	cool	dry - wet	(\bwet) and (?!dry)(\b\w+)	 It appears in spring, when the weather is 	wet and cool	.
no	X and Y	brown	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 (Even Nicolson once complained jokingly that " Vita only likes flowers which are 	brown and difficult	 to grow.
no	X and Y	small	valuable	large - small	(\bsmall) and (?!large)(\b\w+)	 It's as if the landscape is too 	small and valuable	 to permit care-lessness or a loss of control, even on the part of nature.
no	X and Y	soft	feathery	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 We respond to prickly, angular plants such as sea holly in quite a different way than we do to a 	soft and feathery	 plant like Silver Mound'artemisia.
no	X and Y	yellow	true	false - true	(?!false)(\b\w+) and (\btrue)	 I grow 14 different colors: everything but 	yellow and true	 blue.
no	X or Y	infested	dead	alive - dead	(?!alive)(\b\w+) or (\bdead)	 Remove any 	infested or dead	 tubers at the neck.
no	X and Y	short	tall	long - short	(\bshort) and (?!long)(\b\w+)	 I like to mix 	short and tall	 narcissi and tulips of various types, which gives the garden an attractive layered look.
no	X or Y	hot	dry	dry - wet	(?!wet)(\b\w+) or (\bdry)	 Also avoid excessively 	hot or dry	 periods.
no	X and Y	beautiful	small	large - small	(?!large)(\b\w+) and (\bsmall)	 They described our planet as " whole and round and 	beautiful and small	, " a blue-green-and-tan globe suspended in space.
no	X and Y	small	insignificant	large - small	(\bsmall) and (?!large)(\b\w+)	 He listened with shocked @ @ @ @ @ @ @ @ @ @, 	small and insignificant	 and not overly clean, was the renowned Visited Planet.
no	X and Y	new	dramatic	new - old	(\bnew) and (?!old)(\b\w+)	 God has revealed his glory, in 	new and dramatic	 ways.
no	X or Y	difficult	painful	difficult - easy	(\bdifficult) or (?!easy)(\b\w+)	 And we keep company with God only by adopting God's purposes as our own and following through on them even when it is initially 	difficult or painful	 to do so.
yes	X and Y	alive	dead	alive - dead	(alive) and (dead)	 This comes from all the Hatches 	alive and dead	 whom you two have loved, helped in so many ways, and prayed for through the years.
no	X and Y	quick	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 He did not, for example, expect 	quick and easy	 spiritual solutions to problems faced by Christians who had been denied healthy intimate relationships.
no	X and Y	private	individual	private - public	(\bprivate) and (?!public)(\b\w+)	 She appealed for an expansion of spirituality from a 	private and individual	 model to a communal model that practices solidarity with fellow believers, regardless of geopolitical factors.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 They were 	rich and poor	, young and old, people from all social classes and occupations.
no	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 They were rich and poor, 	young and old	, people from all social classes and occupations.
no	X and Y	complex	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 His own writing provides an explanation of why there are such divergent interpretations of authenticity: human reason is limited while the phenomena of human existence are 	complex and rich	.
no	X and Y	new	radical	new - old	(\bnew) and (?!old)(\b\w+)	 Perhaps this is why, in what seems almost desperate fashion, the current pope has been making 	new and radical	 claims for papal authority, sometimes, it seems, each day.
no	whether X or Y	dead	wounded	alive - dead	whether (\bdead) or (?!alive)(\b\w+)	 The date is imprecise, and no victims of the shooting are named (whether dead or wounded	).
no	X and Y	abstract	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 But, although the current scholarly arguments are 	abstract and difficult	 to paraphrase, I shall try to touch upon the major points in this brief space.
no	X and Y	cold	empty	cold - hot	(\bcold) and (?!hot)(\b\w+)	 Where the bed is 	cold and empty	, there is still sexual identity.
no	X and Y	hot	malarial	cold - hot	(\bhot) and (?!cold)(\b\w+)	 It was after Kent State, when it was 	hot and malarial	, that I first entered the Capitol, and touched the marble as cold as a coffin and knew it was the Senate that would save us.
no	X and Y	floppy	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 Today most people have 	floppy and hard	 disk drives.
no	both X and Y	new	used	new - old	both (\bnew) and (?!old)(\b\w+)	 Some states only cover the purchase of new equipment, some cover 	both new and used	 items.
yes	X or Y	cold	hot	cold - hot	(cold) or (hot)	 Someone with MS or a heart condition could be negatively affected by the 	cold or hot	 air while OK in the indoor environment where the temperature and/or humidity is regulated.
yes	X and Y	wet	dry	dry - wet	(wet) and (dry)	 With consistently high temperatures and alternating 	wet and dry	 seasons, plant life adapts to climatic extremes by developing deep root systems.
no	X and Y	long	medium	long - short	(\blong) and (?!short)(\b\w+)	 FM signals are heard little beyond the horizon of their transmitting aerial, and the " ground waves " of 	long and medium	 length seldom much farther.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	 No Moche burials previously excavated were as 	large and complex	 as these tombs, with room-sized burial chambers containing multiple individuals in separate coffins, surrounded by hundreds of ceramic vessels.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 I'm not questioning whether he was 	right or wrong	, just addressing the idea @ @ @ @ @ @ @ @ @ @ Frasconi has lived by this holistic code.
no	X and Y	new	unwelcome	new - old	(\bnew) and (?!old)(\b\w+)	 He went out the door with but one homer all that season, a brace on his sprained right knee and a 	new and unwelcome	 status as a seven-year minor league free agent.
no	X and Y	large	menacing	large - small	(\blarge) and (?!small)(\b\w+)	 He's 	large and menacing	 and very economical with words.
no	X and Y	slow	sure	fast - slow	(\bslow) and (?!fast)(\b\w+)	 Schmidt dug into the batter's box 	slow and sure	, as @ @ @ @ @ @ @ @ @ @, and Piazza does the same thing today.
no	X and Y	small	skinny	large - small	(\bsmall) and (?!large)(\b\w+)	 " A dysmorphic bodybuilder sees " 	small and skinny	 " Thus telling a builder he looks small is as unsettling to him as telling an anorectic she looks fat is to her.
no	X or Y	short	skinny	long - short	(\bshort) or (?!long)(\b\w+)	 Many were 	short or skinny	.
no	X and Y	rich	famous	poor - rich	(\brich) and (?!poor)(\b\w+)	 " People tell me they want to be 	rich and famous	?
no	X and Y	high	dry	dry - wet	(?!wet)(\b\w+) and (\bdry)	 Kentucky coach Tubby Smith was n't criticized in 1997 when he left Georgia 	high and dry	 after agreeing to a new contract, although he had yet to sign it.
yes	X and Y	feminine	masculine	feminine - masculine	(feminine) and (masculine)	 If the rest of us are forever trying to balance our 	feminine and masculine	 sides, the great basketball players are trying to bring their Michael side into balance with their Magic side.
no	X and Y	aggressive	optimistic	optimistic - pessimistic	(?!pessimistic)(\b\w+) and (\boptimistic)	 He has been so 	aggressive and optimistic	 in his treatment that doctors can no longer find traces of HIV in his blood (which is not to say that the virus has disappeared).
no	X and Y	light	handy	heavy - light	(\blight) and (?!heavy)(\b\w+)	 Above all, the sheep rifle should be reasonably 	light and handy	.
no	X and Y	new	radical	new - old	(\bnew) and (?!old)(\b\w+)	 hype: The ancient gun- and rifle-making firm of Remington has just announced a 	new and radical	 departure in rifle manufacture.
no	X and Y	dry	comfortable	dry - wet	(\bdry) and (?!wet)(\b\w+)	 Those two features help keep your feet 	dry and comfortable	 over extended hot miles-which is why the Uplander is our top pick for wingshooters.
no	X or Y	wet	pinched	dry - wet	(\bwet) or (?!dry)(\b\w+)	 Who does n't harbor memories of cold, 	wet or pinched	 feet wrecking a hunt?
no	X and Y	widespread	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 " And some of the big ones live in the Ozarks, where a good mast crop keeps them 	widespread and difficult	 to hunt successfully.
no	more X than Y	effective	dead	alive - dead	more (?!alive)(\b\w+) than (\bdead)	 I ca n't explain why, but live branches are much 	more effective than dead	 ones.
no	X and Y	new	growing	new - old	(\bnew) and (?!old)(\b\w+)	, for American bass fishing it's a 	new and growing	 wrinkle.
yes	X or Y	dead	alive	alive - dead	(dead) or (alive)	 What catfish eat most often is other fish, 	dead or alive	.
no	X and Y	high	slippery	high - low	(\bhigh) and (?!low)(\b\w+)	 I felt and withdrew with first one foot, then the other, and then inched half a step downstream to get around something 	high and slippery	.
no	X and Y	hot	breathless	cold - hot	(\bhot) and (?!cold)(\b\w+)	 At midnight it was still 	hot and breathless	.
no	X and Y	high	dry	dry - wet	(?!wet)(\b\w+) and (\bdry)	 On his stomach White flicks out a side cast that drops the craw on the far bank, 	high and dry	.
no	X and Y	small	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Buttons are 	small and difficult	 to operate with gloves.
no	X and Y	magnetic	true	false - true	(?!false)(\b\w+) and (\btrue)	 Unless 	magnetic and true	 north coincide (in North America, anywhere along a line between Savannah, Georgia, and the western edge of Hudson's Bay), you must allow for declination.
yes	X or Y	long	short	long - short	(long) or (short)	 All the bug's action comes from your lefthand line pulls-	long or short	, fast or slow.
no	X and Y	thick	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 The stew should be ready when it's 	thick and rich	 enough for a spoon to stand in.
no	X and Y	easy	inviting	difficult - easy	(\beasy) and (?!difficult)(\b\w+)	 In short, it has always been 	easy and inviting	.
yes	X or Y	rich	poor	poor - rich	(rich) or (poor)	 Accessible to 	rich or poor	?
no	X or Y	Public	private	private - public	(?!public)(\b\w+) or (\bprivate)	 The fate of the Baca Ranch stands as a microcosm for the future of the West: 	Public or private	?
no	X and Y	large	larger	large - small	(\blarge) and (?!small)(\b\w+)	 Small ones near the top graded to 	large and larger	 ones around the bottom.
no	X and Y	tough	slow	fast - slow	(?!fast)(\b\w+) and (\bslow)	 The snow was trackless and deep, the going 	tough and slow	.
no	X and Y	irregular	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 A lot of the symptoms of menopause are not as recognizable as hot flashes, night sweats, or 	irregular and heavy	 periods.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 Although I understood what was 	right and wrong	, I now recognize clearly that during college my actions had different motives than they do now.
yes	X and Y	hot	cold	cold - hot	(hot) and (cold)	 Like Ian, he blows 	hot and cold	, one day meeting me with velvety eyes, the next making a quick exit.
no	X and Y	small	wiry	large - small	(\bsmall) and (?!large)(\b\w+)	 He is 	small and wiry	.
no	X or Y	dead	absent	alive - dead	(\bdead) or (?!alive)(\b\w+)	 Only mothers with rare problems are unable to breast-feed (by some estimates, 1 percent or less of women) and only babies whose moth ers are 	dead or absent	 need anything other than breast milk.
no	how X or Y	young	old	new - old	how (?!new)(\b\w+) or (\bold)	 Somehow he made them believe that any female no matter 	how young or old	 with the potential to be a slut was destined to live as a backstreet woman.
