class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	X and Y	large	physical	large - small	(\blarge) and (?!small)(\b\w+)	22695	 Isame Faciane came on strong as a sophomore last season, and is a 	large and physical	 presence in the middle of the line.	 Isame Faciane came on strong as a sophomore last season, and is a  large and physical  presence in the middle of the line.
no	X and Y	large	striking	large - small	(\blarge) and (?!small)(\b\w+)	27069	 Most have 	large and striking	 compound leaves, generally pinnate and frequently toothed.	 Most have  large and striking  compound leaves, generally pinnate and frequently toothed.
no	X and Y	small	narrow	large - small	(\bsmall) and (?!large)(\b\w+)	28124	 Not unless your skillset is very 	small and narrow	.	 Not unless your skillset is very  small and narrow .
no	X and Y	large	weighty	large - small	(\blarge) and (?!small)(\b\w+)	23417	 It is neither terribly expensive nor 	large and weighty	.	 It is neither terribly expensive nor  large and weighty .
no	X and Y	small	inconsequential	large - small	(\bsmall) and (?!large)(\b\w+)	47772	 support of Saddam was MINISCULE (that means 	small and inconsequential	) compared to the support provided him by nations such as Russia, France, Germany.	 support of Saddam was MINISCULE (that means  small and inconsequential ) compared to the support provided him by nations such as Russia, France, Germany.
no	X and Y	small	medium	large - small	(\bsmall) and (?!large)(\b\w+)	22678	 Is there an opportunity to engage 	small and medium	 enterprises (SMEs) in CSR and deliver social results on a scale that dwarfs what we're seeing now?	 Is there an opportunity to engage  small and medium  enterprises (SMEs) in CSR and deliver social results on a scale that dwarfs what we're seeing now?
no	X and Y	sized	small	large - small	(?!large)(\b\w+) and (\bsmall)	4370	 5s are my preference, and they've killed cleanly for me at 40 yards and slightly beyond on medium-	sized and small	 ducks.	 5s are my preference, and they've killed cleanly for me at 40 yards and slightly beyond on medium- sized and small  ducks.
no	X and Y	small	independent	large - small	(\bsmall) and (?!large)(\b\w+)	37618	 The problem lies in the fact that, as in the US, the churches that are growing most rapidly in Hong Kong are 	small and independent	 - sometimes charismatic, sometimes fundamentalist, but always evangelistic.	 The problem lies in the fact that, as in the US, the churches that are growing most rapidly in Hong Kong are  small and independent  - sometimes charismatic, sometimes fundamentalist, but always evangelistic.
no	X and Y	popular	large	large - small	(?!small)(\b\w+) and (\blarge)	40592	 They figure they are so 	popular and large	 that people will just have to use them.	 They figure they are so  popular and large  that people will just have to use them.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	45729	 Wildlife experts, meanwhile wonder what moose @ @ @ @ @ @ @ @ @ @ such a 	large and growing	 human presence.	 Wildlife experts, meanwhile wonder what moose @ @ @ @ @ @ @ @ @ @ such a  large and growing  human presence.
no	X and Y	small	shallow	large - small	(\bsmall) and (?!large)(\b\w+)	45016	 When possible, ford near headwaters where streams are 	small and shallow	.	 When possible, ford near headwaters where streams are  small and shallow .
no	X and Y	small	slight	large - small	(\bsmall) and (?!large)(\b\w+)	31790	 She was 	small and slight	, blond hair in a ponytail like a teenager's, but he could see she was at least 30.	 She was  small and slight , blond hair in a ponytail like a teenager's, but he could see she was at least 30.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	48504	", and it will be "" the premier media and content company serving the "	large and growing	 market of outdoor enthusiasts in the United States.	", and it will be "" the premier media and content company serving the  large and growing  market of outdoor enthusiasts in the United States."
no	X and Y	small	harsh	large - small	(\bsmall) and (?!large)(\b\w+)	40330	 They are all kind here, and just thinking about that makes something inside Loki twist, 	small and harsh	 and pointed as the wire.	 They are all kind here, and just thinking about that makes something inside Loki twist,  small and harsh  and pointed as the wire.
no	X and Y	large	clear	large - small	(\blarge) and (?!small)(\b\w+)	20178	 If Facebook cared about artists- they would post the artist's website 	large and clear	 with a link.	 If Facebook cared about artists- they would post the artist's website  large and clear  with a link.
no	X and Y	small	unlucky	large - small	(\bsmall) and (?!large)(\b\w+)	25458	 Katie dominates his world; Pelly rattles it, makes it seem too 	small and unlucky	.	 Katie dominates his world; Pelly rattles it, makes it seem too  small and unlucky .
no	X and Y	large	dangerous	large - small	(\blarge) and (?!small)(\b\w+)	36429	 The hunting of 	large and dangerous	 game by men required a type of thrill- and adventure-seeking that also contributes to the success of the human race.	 The hunting of  large and dangerous  game by men required a type of thrill- and adventure-seeking that also contributes to the success of the human race.
no	X and Y	large	lovely	large - small	(\blarge) and (?!small)(\b\w+)	12273	 Did you know that one of the nicest things about them are the very 	large and lovely	 apple-blossom-like flowers?	 Did you know that one of the nicest things about them are the very  large and lovely  apple-blossom-like flowers?
no	X and Y	small	spherical	large - small	(\bsmall) and (?!large)(\b\w+)	6051	 Albert Freel read spoors like an oracle, and the droppings he'd found were 	small and spherical	, occurring in piles like end-of-day fruit picked over and scattered by some quick, careless hand.	 Albert Freel read spoors like an oracle, and the droppings he'd found were  small and spherical , occurring in piles like end-of-day fruit picked over and scattered by some quick, careless hand.
no	X and Y	small	furry	large - small	(\bsmall) and (?!large)(\b\w+)	19156	 I saw Walt pounce on something 	small and furry	, look it over, then toss it two-handed to one of the snakes.	 I saw Walt pounce on something  small and furry , look it over, then toss it two-handed to one of the snakes.
no	X and Y	tall	large	large - small	(?!small)(\b\w+) and (\blarge)	9261	 Belam was a 	tall and large	 man, not given to @ @ @ @ @ @ @ @ @ @ gentle.	 Belam was a  tall and large  man, not given to @ @ @ @ @ @ @ @ @ @ gentle.
no	X and Y	small	petty	large - small	(\bsmall) and (?!large)(\b\w+)	47264	 he is a second rate bureaucrat who is 	small and petty	.	 he is a second rate bureaucrat who is  small and petty .
no	X and Y	wild	large	large - small	(?!small)(\b\w+) and (\blarge)	19259	 I stood in the room I'd been conceived in and stared into the blue water of his eyes, his pupils 	wild and large	 with morphine.	 I stood in the room I'd been conceived in and stared into the blue water of his eyes, his pupils  wild and large  with morphine.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	24454	 It would also entail a judgment as to how 	large and complex	 a firm @ @ @ @ @ @ @ @ @ @ scale and scope that carry social benefit.	 It would also entail a judgment as to how  large and complex  a firm @ @ @ @ @ @ @ @ @ @ scale and scope that carry social benefit.
no	X and Y	large	designated	large - small	(\blarge) and (?!small)(\b\w+)	41440	 This has already started to take place, but with a 	large and designated	 movement of individuals it would merely enhance the process.	 This has already started to take place, but with a  large and designated  movement of individuals it would merely enhance the process.
no	X and Y	small	weak	large - small	(\bsmall) and (?!large)(\b\w+)	39587	 There is no way any state can sustain such a large army and police force with such a 	small and weak	 economy and state.	 There is no way any state can sustain such a large army and police force with such a  small and weak  economy and state.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	27756	 No Moche burials previously excavated were as 	large and complex	 as these tombs, with room-sized burial chambers containing multiple individuals in separate coffins, surrounded by hundreds of ceramic vessels.	 No Moche burials previously excavated were as  large and complex  as these tombs, with room-sized burial chambers containing multiple individuals in separate coffins, surrounded by hundreds of ceramic vessels.
no	X and Y	large	black	large - small	(\blarge) and (?!small)(\b\w+)	29725	 Patrice was 	large and black	, with soft eyes and oiled-down hair.	 Patrice was  large and black , with soft eyes and oiled-down hair.
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	9738	 Businesses of all kinds, 	big and small	, need to do marketing.	 Businesses of all kinds,  big and small , need to do marketing.
no	X and Y	large	radical	large - small	(\blarge) and (?!small)(\b\w+)	17474	 However over the last year, this political scene has grown immensely and has become a 	large and radical	 presence in Portuguese political action.	 However over the last year, this political scene has grown immensely and has become a  large and radical  presence in Portuguese political action.
no	X and Y	small	slender	large - small	(\bsmall) and (?!large)(\b\w+)	43152	 Two generals -- Burgdorf, a powerful florid man, and Maisel, 	small and slender	 -- alighted from the car and entered the house.	 Two generals -- Burgdorf, a powerful florid man, and Maisel,  small and slender  -- alighted from the car and entered the house.
no	X and Y	small	neat	large - small	(\bsmall) and (?!large)(\b\w+)	24051	 It was 	small and neat	 and the spear had missed the bone, but it was still a ghastly sight.	 It was  small and neat  and the spear had missed the bone, but it was still a ghastly sight.
no	X and Y	small	slender	large - small	(\bsmall) and (?!large)(\b\w+)	31808	 She was a pretty enough girl with red hair and white skin, 	small and slender	, and quiet.	 She was a pretty enough girl with red hair and white skin,  small and slender , and quiet.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	32925	 Sometimes the stamp was a question of composition, and in this Rubens excelled, conceiving 	large and complex	 movements of many figures caught in some compelling flow, with color and sinuous forms building to a symphonic visual climax.	 Sometimes the stamp was a question of composition, and in this Rubens excelled, conceiving  large and complex  movements of many figures caught in some compelling flow, with color and sinuous forms building to a symphonic visual climax.
no	X and Y	large	loving	large - small	(\blarge) and (?!small)(\b\w+)	1728	" "" In spite of the success and admiration that he earned, and despite his "	large and loving	 family, Darwin's life was not an especially happy one.	" "" In spite of the success and admiration that he earned, and despite his  large and loving  family, Darwin's life was not an especially happy one."
no	X and Y	large	vocal	large - small	(\blarge) and (?!small)(\b\w+)	45469	 While having millions of new users instantly is a competitive advantage the only online giants like Google can enjoy, the company's unilateral actions have resulted in a 	large and vocal	 Google Buzz backlash.	 While having millions of new users instantly is a competitive advantage the only online giants like Google can enjoy, the company's unilateral actions have resulted in a  large and vocal  Google Buzz backlash.
no	X and Y	small	daisylike	large - small	(\bsmall) and (?!large)(\b\w+)	36140	 The flowers tend to be rather 	small and daisylike	, composite in shape, but nearly always clustered in tightly packed umbels or corymbs.	 The flowers tend to be rather  small and daisylike , composite in shape, but nearly always clustered in tightly packed umbels or corymbs.
no	X and Y	large	deep	large - small	(\blarge) and (?!small)(\b\w+)	37162	 The next morning they placed a 	large and deep	 copper tray in the synagogue courtyard, filling it with water they had drawn from the Paayab.	 The next morning they placed a  large and deep  copper tray in the synagogue courtyard, filling it with water they had drawn from the Paayab.
no	X and Y	small	round	large - small	(\bsmall) and (?!large)(\b\w+)	31522	 She is 	small and round	 and always producing pieces of chocolate on their walks, which she shares with everyone.	 She is  small and round  and always producing pieces of chocolate on their walks, which she shares with everyone.
no	X and Y	large	scary	large - small	(\blarge) and (?!small)(\b\w+)	893	" "" Bracing "" was an old expression that Harley liked to use -- it involved him and several other people, preferably "	large and scary	 men, confronting a seller in her place of business.	" "" Bracing "" was an old expression that Harley liked to use -- it involved him and several other people, preferably  large and scary  men, confronting a seller in her place of business."
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	5835	 After a decade of rapid growth from selling computers to new users, companies 	big and small	 are increasingly reliant on selling replacement machines or improved versions of software.	 After a decade of rapid growth from selling computers to new users, companies  big and small  are increasingly reliant on selling replacement machines or improved versions of software.
no	X and Y	small	functional	large - small	(\bsmall) and (?!large)(\b\w+)	8585	 At his hip he wore a covered holster - 	small and functional	 looking, not filigreed and oversized like the ones you usually see on visitors from the city.	 At his hip he wore a covered holster -  small and functional  looking, not filigreed and oversized like the ones you usually see on visitors from the city.
no	X and Y	large	important	large - small	(\blarge) and (?!small)(\b\w+)	4888	 A 	large and important	 string of federal lands the Appalachians from Pennsylvania to Virginia, providing wide opportunity for urban and rural sportsmen alike.	 A  large and important  string of federal lands the Appalachians from Pennsylvania to Virginia, providing wide opportunity for urban and rural sportsmen alike.
no	X and Y	large	abrupt	large - small	(\blarge) and (?!small)(\b\w+)	4103	 1, when 	large and abrupt	 tax increases and spending cuts will take effect automatically unless Congress acts.	 1, when  large and abrupt  tax increases and spending cuts will take effect automatically unless Congress acts.
no	X and Y	available	small	large - small	(?!large)(\b\w+) and (\bsmall)	5471	 A variety of manipulatives should be 	available and small	 group activities should be planned.	 A variety of manipulatives should be  available and small  group activities should be planned.
no	X and Y	large	impressive	large - small	(\blarge) and (?!small)(\b\w+)	44518	 What I saw was the very 	large and impressive	" set of mobile caissons that make up the "" S-1 gate "" of what is known as the St."	" What I saw was the very  large and impressive  set of mobile caissons that make up the "" S-1 gate "" of what is known as the St."
no	X and Y	large	robust	large - small	(\blarge) and (?!small)(\b\w+)	5089	 A few native-language communities, like the Aymara and the Tswana, are 	large and robust	, but most are small and fragile.	 A few native-language communities, like the Aymara and the Tswana, are  large and robust , but most are small and fragile.
no	X and Y	small	old	large - small	(\bsmall) and (?!large)(\b\w+)	37006	 The moon was shining between the trees, making them look 	small and old	.	 The moon was shining between the trees, making them look  small and old .
no	X and Y	large	persistent	large - small	(\blarge) and (?!small)(\b\w+)	17702	 However, when a leak is 	large and persistent	, heated humidification is the most effective means of reducing patient discomfort.	 However, when a leak is  large and persistent , heated humidification is the most effective means of reducing patient discomfort.
no	X and Y	large	soft	large - small	(\blarge) and (?!small)(\b\w+)	24012	 It was 	large and soft	 and smelled faintly of leather.	 It was  large and soft  and smelled faintly of leather.
no	X and Y	great	small	large - small	(?!large)(\b\w+) and (\bsmall)	40720	 They looked like fireflies dancing around her, and it made her look like some sort of fairy-tale queen, friend to all creatures 	great and small	.	 They looked like fireflies dancing around her, and it made her look like some sort of fairy-tale queen, friend to all creatures  great and small .
no	X and Y	cheap	small	large - small	(?!large)(\b\w+) and (\bsmall)	14203	 For small firms, external drives like USB recorders or removable media like CDs and DVDs are 	cheap and small	 enough that no firm has an excuse to not back up.	 For small firms, external drives like USB recorders or removable media like CDs and DVDs are  cheap and small  enough that no firm has an excuse to not back up.
no	X and Y	large	conspicuous	large - small	(\blarge) and (?!small)(\b\w+)	10296	 But laying an egg directly onto the skin of a potential host without detection would be quite difficult for this 	large and conspicuous	 fly.	 But laying an egg directly onto the skin of a potential host without detection would be quite difficult for this  large and conspicuous  fly.
no	X and Y	early	small	large - small	(?!large)(\b\w+) and (\bsmall)	20541	 If there is real movement, what looks like greenwashing today might become significant impact in the future if the 	early and small	 steps reach a tipping point.	 If there is real movement, what looks like greenwashing today might become significant impact in the future if the  early and small  steps reach a tipping point.
no	X and Y	small	unrepresentative	large - small	(\bsmall) and (?!large)(\b\w+)	42982	 Torney-Purta cautions readers to be wary of overly broad generalizations about national differences when the samples are 	small and unrepresentative	.	 Torney-Purta cautions readers to be wary of overly broad generalizations about national differences when the samples are  small and unrepresentative .
no	X and Y	small	frail	large - small	(\bsmall) and (?!large)(\b\w+)	24125	 It was a look Kirsten had lived with all her life and felt ashamed of, seeing something so 	small and frail	 and helpless at the heart of other peoples sympathy.	 It was a look Kirsten had lived with all her life and felt ashamed of, seeing something so  small and frail  and helpless at the heart of other peoples sympathy.
no	X and Y	small	simple	large - small	(\bsmall) and (?!large)(\b\w+)	33101	 Start 	small and simple	 and controlled (and keep it controlled!	 Start  small and simple  and controlled (and keep it controlled!
no	X and Y	small	casual	large - small	(\bsmall) and (?!large)(\b\w+)	22006	 In the finished movie Peter gives Connors the alogrithm on a napkin, which feels 	small and casual	.	 In the finished movie Peter gives Connors the alogrithm on a napkin, which feels  small and casual .
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	29114	 Oppositions of thick and thin, of color, of direction, of 	big and small	, of simplified areas against textured areas, of line against nonline, and of flat shape against patterned shape.	 Oppositions of thick and thin, of color, of direction, of  big and small , of simplified areas against textured areas, of line against nonline, and of flat shape against patterned shape.
no	X and Y	large	intimidating	large - small	(\blarge) and (?!small)(\b\w+)	40465	 They both got more than they bargained for in the end and came up against a rather 	large and intimidating	 alien species in the process.	 They both got more than they bargained for in the end and came up against a rather  large and intimidating  alien species in the process.
no	X and Y	large	sophisticated	large - small	(\blarge) and (?!small)(\b\w+)	39091	 Their tax revenues were not enough to pay for 	large and sophisticated	 armies, nor for state institutions that could firmly control their own societies.	 Their tax revenues were not enough to pay for  large and sophisticated  armies, nor for state institutions that could firmly control their own societies.
no	X and Y	orange	large	large - small	(?!small)(\b\w+) and (\blarge)	12262	 Did the moon look particularly 	orange and large	, or did it always look like that at this time of year?	 Did the moon look particularly  orange and large , or did it always look like that at this time of year?
no	X and Y	new	large	large - small	(?!small)(\b\w+) and (\blarge)	14869	 Good for small companies as it gives them a 	new and large	 source of potential capital.	 Good for small companies as it gives them a  new and large  source of potential capital.
no	X and Y	sweet	small	large - small	(?!large)(\b\w+) and (\bsmall)	35766	 The devils were dancing there, three of them, 	sweet and small	.	 The devils were dancing there, three of them,  sweet and small .
no	X and Y	large	diverse	large - small	(\blarge) and (?!small)(\b\w+)	9550	 Both are 	large and diverse	 groups, and between them, they include the most important legume model taxa, L.	 Both are  large and diverse  groups, and between them, they include the most important legume model taxa, L.
no	X and Y	fierce	large	large - small	(?!small)(\b\w+) and (\blarge)	15231	 He blocks, avoids, rolls, jumps and redirects the attacks on him, @ @ @ @ @ @ @ @ @ @ when an especially 	fierce and large	 statue comes crashing towards him.	 He blocks, avoids, rolls, jumps and redirects the attacks on him, @ @ @ @ @ @ @ @ @ @ when an especially  fierce and large  statue comes crashing towards him.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	26863	 Modern civilization requires a 	large and complex	 government because the private sector alone simply can not provide many vital services such as defense and environmental protection.	 Modern civilization requires a  large and complex  government because the private sector alone simply can not provide many vital services such as defense and environmental protection.
no	X and Y	small	wiry	large - small	(\bsmall) and (?!large)(\b\w+)	31796	 She was 	small and wiry	, near the end of her time: when she went there'd be a drinks machine instead'Thanks, Nell,'he said.	 She was  small and wiry , near the end of her time: when she went there'd be a drinks machine instead'Thanks, Nell,'he said.
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	12628	 Each commissioner made compromises, 	big and small	, and over the course of several months consensus emerged.	 Each commissioner made compromises,  big and small , and over the course of several months consensus emerged.
no	X and Y	small	white	large - small	(\bsmall) and (?!large)(\b\w+)	8029	 As I turned back to get my rifle, I saw something 	small and white	 on the back of my right hand, and glimpsed a dark stain on my jungle fatigue trousers right below the right knee.	 As I turned back to get my rifle, I saw something  small and white  on the back of my right hand, and glimpsed a dark stain on my jungle fatigue trousers right below the right knee.
no	X and Y	full	large	large - small	(?!small)(\b\w+) and (\blarge)	48332	) There is in their 	full and large	 description no mention of faith or believing, either expressly or in terms equivalent.	) There is in their  full and large  description no mention of faith or believing, either expressly or in terms equivalent.
no	X and Y	small	tight	large - small	(\bsmall) and (?!large)(\b\w+)	1137	" "" For an @ @ @ @ @ @ @ @ @ @ to heaven, which was "	small and tight	 and already closing fast on my tail.	" "" For an @ @ @ @ @ @ @ @ @ @ to heaven, which was  small and tight  and already closing fast on my tail."
no	X and Y	large	strong	large - small	(\blarge) and (?!small)(\b\w+)	1361	" "" His hands were "	large and strong	, an asset for his chosen career.	" "" His hands were  large and strong , an asset for his chosen career."
no	X and Y	small	hardy	large - small	(\bsmall) and (?!large)(\b\w+)	14697	 Genetic evidence suggests very strongly that we are all Africans, common descendants of the 	small and hardy	 band of Homo sapiens sapiens who left Africa around seventy thousand years ago.	 Genetic evidence suggests very strongly that we are all Africans, common descendants of the  small and hardy  band of Homo sapiens sapiens who left Africa around seventy thousand years ago.
no	X and Y	small	medium	large - small	(\bsmall) and (?!large)(\b\w+)	31453	 She had been discussing the role of 	small and medium	 businesses and how they can be tailored to meet the needs of the energy industry and of foreign operators.	 She had been discussing the role of  small and medium  businesses and how they can be tailored to meet the needs of the energy industry and of foreign operators.
no	X and Y	large	unusual	large - small	(\blarge) and (?!small)(\b\w+)	8776	 Autumn is obviously when this 	large and unusual	 fish visits the Sound.	 Autumn is obviously when this  large and unusual  fish visits the Sound.
no	X and Y	small	marginal	large - small	(\bsmall) and (?!large)(\b\w+)	9672	 Britain: British National Party The BNP is 	small and marginal	.	 Britain: British National Party The BNP is  small and marginal .
no	X and Y	large	important	large - small	(\blarge) and (?!small)(\b\w+)	1783	" "" It is a matter of surprise how "	large and important	 a part divine Providence has appointed special races to take in the history of religion.	" "" It is a matter of surprise how  large and important  a part divine Providence has appointed special races to take in the history of religion."
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	40924	 They war against each other and society in 	big and small	 cities all over the country.	 They war against each other and society in  big and small  cities all over the country.
no	X and Y	small	helpless	large - small	(\bsmall) and (?!large)(\b\w+)	10086	 But he never talked to it or gushed over it the way some people do who are smitten by creatures 	small and helpless	.	 But he never talked to it or gushed over it the way some people do who are smitten by creatures  small and helpless .
no	X and Y	large	unstoppable	large - small	(\blarge) and (?!small)(\b\w+)	20614	 If we can squelch this baby now, by moral restraint and international agreement, let's do so before he grows into a 	large and unstoppable	 adult potentially far more potent than any devil we know already.	 If we can squelch this baby now, by moral restraint and international agreement, let's do so before he grows into a  large and unstoppable  adult potentially far more potent than any devil we know already.
no	X and Y	large	turrible	large - small	(\blarge) and (?!small)(\b\w+)	11381	" Chief among them were grizzly bears, "" the verry "	large and turrible	" "" bruins that once numbered 100,000."	" Chief among them were grizzly bears, "" the verry  large and turrible  "" bruins that once numbered 100,000."
no	X and Y	large	rumpled	large - small	(\blarge) and (?!small)(\b\w+)	16123	 He was on a 	large and rumpled	 bed and a woman was sitting with her back to him, in a dress that clung in all the right places.	 He was on a  large and rumpled  bed and a woman was sitting with her back to him, in a dress that clung in all the right places.
no	X and Y	small	intimate	large - small	(\bsmall) and (?!large)(\b\w+)	23208	 It is a 	small and intimate	 community, and he is a vital part of it.	 It is a  small and intimate  community, and he is a vital part of it.
no	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	9012	 Because carbon readily binds with itself, carbon-based molecules can get 	large and complex	.	 Because carbon readily binds with itself, carbon-based molecules can get  large and complex .
no	X and Y	small	diminishing	large - small	(\bsmall) and (?!large)(\b\w+)	47791	 th the exception of a 	small and diminishing	 number of senior chess masters.	 th the exception of a  small and diminishing  number of senior chess masters.
no	X and Y	small	medium	large - small	(\bsmall) and (?!large)(\b\w+)	2732	" "" The problem is that most of these companies are "	small and medium	 businesses, many of which are burning fuels in old systems or using new or toxic chemicals to try to compete and survive.	" "" The problem is that most of these companies are  small and medium  businesses, many of which are burning fuels in old systems or using new or toxic chemicals to try to compete and survive."
no	X and Y	large	motherly	large - small	(\blarge) and (?!small)(\b\w+)	28896	 One long braid hung down beside a 	large and motherly	 breast.	 One long braid hung down beside a  large and motherly  breast.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	30965	 Rural hospital leaders viewed the 	large and growing	 number of uninsured people as the most important reason why the health system should be changed.	 Rural hospital leaders viewed the  large and growing  number of uninsured people as the most important reason why the health system should be changed.
no	X and Y	large	strong	large - small	(\blarge) and (?!small)(\b\w+)	9308	 Besides an enormous number of incessant flowers, plants grew 	large and strong	.	 Besides an enormous number of incessant flowers, plants grew  large and strong .
no	X and Y	large	militant	large - small	(\blarge) and (?!small)(\b\w+)	43315	 Unlike Croatia, which has a 	large and militant	 Serbian minority within its borders, Slovenia has no sizeable minority populations.	 Unlike Croatia, which has a  large and militant  Serbian minority within its borders, Slovenia has no sizeable minority populations.
no	X and Y	clear	large	large - small	(?!small)(\b\w+) and (\blarge)	23754	 It projected a very 	clear and large	 image of the eclipse onto that building.	 It projected a very  clear and large  image of the eclipse onto that building.
no	X and Y	small	weak	large - small	(\bsmall) and (?!large)(\b\w+)	35860	 The drinks were 	small and weak	 and the food was bland at best.	 The drinks were  small and weak  and the food was bland at best.
no	X and Y	small	petty	large - small	(\bsmall) and (?!large)(\b\w+)	46214	 Yes, that was 	small and petty	, but it felt good to do it.	 Yes, that was  small and petty , but it felt good to do it.
no	X and Y	desultory	small	large - small	(?!large)(\b\w+) and (\bsmall)	16650	 Her voice is not agile and overwhelming like Florence Welch's; nor is it as aerobic as Beyonc's or Gaga's; nor is it 	desultory and small	, with a dollop of cuteness, like Feist's or St.	 Her voice is not agile and overwhelming like Florence Welch's; nor is it as aerobic as Beyonc's or Gaga's; nor is it  desultory and small , with a dollop of cuteness, like Feist's or St.
no	X and Y	large	sympathetic	large - small	(\blarge) and (?!small)(\b\w+)	27340	 My entire time with App Inventor was spent with a tutorial open in a second window, and I also availed myself of guides produced by a 	large and sympathetic	 online community.	 My entire time with App Inventor was spent with a tutorial open in a second window, and I also availed myself of guides produced by a  large and sympathetic  online community.
no	X and Y	large	excellent	large - small	(\blarge) and (?!small)(\b\w+)	6547	 Although she still apparently retained her 	large and excellent	 breasts beneath her bikini top, their present context reduced their erotic content considerably.	 Although she still apparently retained her  large and excellent  breasts beneath her bikini top, their present context reduced their erotic content considerably.
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	13827	 Follow Arizona immigration @ @ @ @ @ @ @ @ @ @ or not and all 	big and small	 businesses should require E-verify to all working applicants in the entire island.	 Follow Arizona immigration @ @ @ @ @ @ @ @ @ @ or not and all  big and small  businesses should require E-verify to all working applicants in the entire island.
no	X and Y	large	premature	large - small	(\blarge) and (?!small)(\b\w+)	6470	 Although Straus (1996a) argued that spanking school-age children and young adolescents is associated with adult violence and other crime, it is considered a rather 	large and premature	 leap to conclude that corporal punishment causes societal violence.	 Although Straus (1996a) argued that spanking school-age children and young adolescents is associated with adult violence and other crime, it is considered a rather  large and premature  leap to conclude that corporal punishment causes societal violence.
no	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	40014	 These efforts, seen in papers 	big and small	, are aimed at countering declines in circulation brought on by an aging readership and weaker ties between potential readers and their papers.	 These efforts, seen in papers  big and small , are aimed at countering declines in circulation brought on by an aging readership and weaker ties between potential readers and their papers.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	22301	 Increasingly, it is no longer true even for many people who do have adequate coverage, but who still are subject to 	large and growing	 burdens associated with a system that is out of control.	 Increasingly, it is no longer true even for many people who do have adequate coverage, but who still are subject to  large and growing  burdens associated with a system that is out of control.
no	X and Y	small	metallic	large - small	(\bsmall) and (?!large)(\b\w+)	40407	 They are sorry to hear the jukebox turned off, and when your guitar chords, 	small and metallic	 at first, tumble into the room, they pay no attention.	 They are sorry to hear the jukebox turned off, and when your guitar chords,  small and metallic  at first, tumble into the room, they pay no attention.
no	X and Y	large	profound	large - small	(\blarge) and (?!small)(\b\w+)	14729	" Gernot Wagner, economist for the Environmental Defense Fund, asserts that "" the changes necessary are so "	large and profound	 that they are beyond the reach of individual action.	" Gernot Wagner, economist for the Environmental Defense Fund, asserts that "" the changes necessary are so  large and profound  that they are beyond the reach of individual action."
no	X and Y	small	independent	large - small	(\bsmall) and (?!large)(\b\w+)	5242	 A more equitable share of Government contracts to 	small and independent	 business.	 A more equitable share of Government contracts to  small and independent  business.
no	X and Y	large	loyal	large - small	(\blarge) and (?!small)(\b\w+)	34506	 The Democrats have a 	large and loyal	 base; a candidate who is luckier and more skillful could well ride it to the White House.	 The Democrats have a  large and loyal  base; a candidate who is luckier and more skillful could well ride it to the White House.
no	X and Y	small	wizened	large - small	(\bsmall) and (?!large)(\b\w+)	17089	 His name was Loring Merguire, and at the time I knew him he was a 	small and wizened	 creature, probably in his late sixties.	 His name was Loring Merguire, and at the time I knew him he was a  small and wizened  creature, probably in his late sixties.
no	X and Y	small	insignificant	large - small	(\bsmall) and (?!large)(\b\w+)	40896	 They turn out to be few, 	small and insignificant	, and usually somewhat questionable, leaving me to wonder whether they were triumphs at all.	 They turn out to be few,  small and insignificant , and usually somewhat questionable, leaving me to wonder whether they were triumphs at all.
no	X and Y	small	nimble	large - small	(\bsmall) and (?!large)(\b\w+)	25962	 Like us, they are 	small and nimble	 and have great visions for growth.	 Like us, they are  small and nimble  and have great visions for growth.
no	X and Y	comparable	large	large - small	(?!small)(\b\w+) and (\blarge)	8403	 As the telomere shortens below 1000 bp these two quantities will become 	comparable and large	 fluctuations may produce a sub-critically short telomere and trigger p53 independent checkpoint response.	 As the telomere shortens below 1000 bp these two quantities will become  comparable and large  fluctuations may produce a sub-critically short telomere and trigger p53 independent checkpoint response.
no	X and Y	small	limited	large - small	(\bsmall) and (?!large)(\b\w+)	25197	 Its time we the people force our Government back to the 	small and limited	 Federal Government our founding fathers envisioned.	 Its time we the people force our Government back to the  small and limited  Federal Government our founding fathers envisioned.
